district_name,item_name,report_month,required_units,units_distributed,funding_source,programme,beneficiary_count,priority_level,district_code,unit_type,collection_method,last_updated,balance,remarks
Hyderabad,Water,2026-08-01,4473.0,3974.0,Red Crescent,WASH Program,1942,Low,PK-HYD,liters,Manual Entry,2026-08-03,499.0,Pending review
Hyderabad,Water,2025-02-01,213.0,,UNHCR,WASH Program,2952,Medium,PK-HYD,liters,Survey,2025-02-24,,Reported by district office
Quetta,Hygiene,2024-11-01,2157.0,2469.0,Local Fund,WASH Program,266,High,PK-QUE,kits,Survey,2024-11-04,-312.0,Reported by district office
Rawalpindi,Water,2025-02-01,1751.0,1718.0,WFP,WASH Program,1938,High,PK-RAW,liters,Mobile App,2025-02-08,33.0,Pending review
Rawalpindi,Shelter,2026-04-01,3431.0,2969.0,WFP,Shelter Support,1028,Low,PK-RAW,units,Partner Report,2026-04-09,462.0,Reported by district office
Rawalpindi,Clothing,2026-03-01,1546.0,1455.0,UNICEF,Winter Aid,2601,Low,PK-RAW,pieces,Mobile App,2026-03-13,91.0,
Peshawar,Hygiene,2026-10-01,2208.0,957.0,UNHCR,WASH Program,2131,Medium,PK-PES,kits,Manual Entry,2026-10-21,1281.0,
Hyderabad,Shelter,2025-04-01,1130.0,792.0,Red Crescent,Shelter Support,361,Medium,PK-HYD,units,Partner Report,2025-04-21,338.0,Field verified
Peshawar,Hygiene,2024-02-01,4027.0,3354.0,Red Crescent,WASH Program,2739,Medium,PK-PES,kits,Survey,2024-02-14,673.0,
Lahore,Water,2026-12-01,1457.0,1063.0,UNICEF,WASH Program,683,High,PK-LAH,liters,Survey,2026-12-18,394.0,Pending review
Sialkot,Shelter,2024-03-01,685.0,214.0,WFP,Shelter Support,1516,High,PK-SIA,units,Partner Report,2024-03-16,471.0,Reported by district office
Hyderabad,Medicine,2025-07-01,2956.0,2273.0,Private Donor,Health Support,529,Medium,PK-HYD,kits,Partner Report,2025-07-05,643.0,Partner discrepancy noted
Quetta,Clothing,2026-06-01,431.0,339.0,UNICEF,Winter Aid,822,Medium,PK-QUE,pieces,Survey,2026-06-25,92.0,Field verified
Faisalabad,Water,2026-04-01,3571.0,3523.0,UNHCR,WASH Program,1112,Low,PK-FAI,liters,Partner Report,2026-04-11,48.0,Pending review
Quetta,Hygiene,2025-01-01,1824.0,1985.0,WFP,WASH Program,879,High,PK-QUE,kits,Mobile App,2025-01-19,-161.0,
Karachi,Medicine,2024-12-01,2937.0,2356.0,Red Crescent,Health Support,1813,High,PK-KAR,kits,Manual Entry,2024-12-22,581.0,Field verified
Peshawar,Food,2026-09-01,,1865.0,WFP,Nutrition Program,1482,Medium,PK-PES,kg,Mobile App,2026-09-07,,Field verified
Peshawar,Clothing,2024-07-01,1884.0,,Private Donor,Winter Aid,1965,High,PK-PES,pieces,Manual Entry,2024-07-05,,
Rawalpindi,Shelter,2025-06-01,3853.0,3523.0,USAID,Shelter Support,2829,Low,PK-RAW,units,Survey,2025-06-23,330.0,Field verified
Sialkot,Medicine,2025-08-01,5158.0,,Local Fund,Health Support,2651,High,PK-SIA,kits,Mobile App,2025-08-21,,
Hyderabad,Medicine,2026-07-01,2391.0,1781.0,UNICEF,Health Support,482,High,PK-HYD,kits,Survey,2026-07-03,610.0,
Peshawar,Medicine,2026-10-01,5108.0,4349.0,USAID,Health Support,2862,Low,PK-PES,kits,Survey,2026-10-17,759.0,Field verified
Rawalpindi,Hygiene,2026-05-01,3007.0,2221.0,UNHCR,WASH Program,2530,Medium,PK-RAW,kits,Manual Entry,2026-05-04,786.0,Partner discrepancy noted
Bahawalpur,Shelter,2024-10-01,,1371.0,UNICEF,Shelter Support,2723,Low,PK-BAH,units,Manual Entry,2024-10-22,,Field verified
Karachi,Clothing,2026-11-01,1878.0,1788.0,Red Crescent,Winter Aid,1734,High,PK-KAR,pieces,Survey,2026-11-01,90.0,Partner discrepancy noted
Bahawalpur,Food,2026-12-01,4054.0,3100.0,WFP,Nutrition Program,824,Low,PK-BAH,kg,Survey,2026-12-20,954.0,Partner discrepancy noted
Quetta,Water,2025-11-01,3154.0,1409.0,UNICEF,WASH Program,2569,Medium,PK-QUE,liters,Partner Report,2025-11-17,1745.0,Pending review
Sialkot,Clothing,2024-08-01,3000.0,2348.0,UNHCR,Winter Aid,175,Medium,PK-SIA,pieces,Partner Report,2024-08-19,652.0,Partner discrepancy noted
Gujranwala,Water,2025-10-01,4767.0,3924.0,UNHCR,WASH Program,2601,High,PK-GUJ,liters,Partner Report,2025-10-15,843.0,
Peshawar,Food,2026-06-01,1954.0,1954.0,WFP,Nutrition Program,1189,High,PK-PES,kg,Manual Entry,2026-06-19,0.0,
Peshawar,Medicine,2026-07-01,2519.0,2593.0,Red Crescent,Health Support,501,High,PK-PES,kits,Mobile App,2026-07-17,-74.0,
Lahore,Hygiene,2025-03-01,,714.0,UNICEF,WASH Program,2651,Medium,PK-LAH,kits,Manual Entry,2025-03-09,,Partner discrepancy noted
Bahawalpur,Medicine,2026-07-01,4555.0,4459.0,Red Crescent,Health Support,1488,High,PK-BAH,kits,Partner Report,2026-07-09,96.0,Partner discrepancy noted
Bahawalpur,Food,2024-08-01,3935.0,2842.0,WFP,Nutrition Program,706,High,PK-BAH,kg,Manual Entry,2024-08-09,1093.0,Partner discrepancy noted
Gujranwala,Water,2024-08-01,2714.0,2457.0,USAID,WASH Program,669,Medium,PK-GUJ,liters,Partner Report,2024-08-18,257.0,Pending review
Peshawar,Shelter,2024-03-01,2246.0,1728.0,Local Fund,Shelter Support,1035,Medium,PK-PES,units,Survey,2024-03-07,518.0,Reported by district office
Quetta,Hygiene,2025-10-01,2255.0,2457.0,UNHCR,WASH Program,556,Low,PK-QUE,kits,Partner Report,2025-10-11,-202.0,Reported by district office
Peshawar,Clothing,2025-12-01,2567.0,856.0,UNHCR,Winter Aid,661,Medium,PK-PES,pieces,Mobile App,2025-12-24,1711.0,Reported by district office
Multan,Food,2026-02-01,2464.0,2464.0,WFP,Nutrition Program,862,High,PK-MUL,kg,Manual Entry,2026-02-06,0.0,
Bahawalpur,Water,2024-05-01,2816.0,1366.0,Local Fund,WASH Program,489,High,PK-BAH,liters,Survey,2024-05-02,1450.0,Pending review
Peshawar,Medicine,2026-08-01,5491.0,4501.0,Red Crescent,Health Support,421,Low,PK-PES,kits,Survey,2026-08-05,990.0,
Rawalpindi,Clothing,2024-11-01,,1027.0,Red Crescent,Winter Aid,621,Low,PK-RAW,pieces,Mobile App,2024-11-09,,Reported by district office
Hyderabad,Water,2024-11-01,5321.0,2433.0,Private Donor,WASH Program,2502,Low,PK-HYD,liters,Survey,2024-11-17,2888.0,Partner discrepancy noted
Sargodha,Water,2025-10-01,,92.0,USAID,WASH Program,2374,Medium,PK-SAR,liters,Survey,2025-10-01,,Partner discrepancy noted
Gujranwala,Medicine,2024-01-01,3739.0,1746.0,UNICEF,Health Support,1363,Medium,PK-GUJ,kits,Partner Report,2024-01-18,1993.0,Reported by district office
Gujranwala,Clothing,2026-01-01,3876.0,3256.0,UNICEF,Winter Aid,360,Medium,PK-GUJ,pieces,Survey,2026-01-12,620.0,Reported by district office
Hyderabad,Shelter,2024-12-01,1200.0,,UNICEF,Shelter Support,2856,High,PK-HYD,units,Mobile App,2024-12-03,,Field verified
Peshawar,Clothing,2026-02-01,4634.0,5097.0,USAID,Winter Aid,1080,Low,PK-PES,pieces,Partner Report,2026-02-20,-463.0,Field verified
Peshawar,Clothing,2026-05-01,1541.0,1304.0,WFP,Winter Aid,1703,High,PK-PES,pieces,Manual Entry,2026-05-24,237.0,Field verified
Faisalabad,Hygiene,2026-06-01,3547.0,3245.0,UNICEF,WASH Program,2213,High,PK-FAI,kits,Mobile App,2026-06-10,302.0,Partner discrepancy noted
Rawalpindi,Shelter,2026-02-01,2260.0,1976.0,Local Fund,Shelter Support,2737,Medium,PK-RAW,units,Mobile App,2026-02-21,284.0,Reported by district office
Quetta,Hygiene,2024-03-01,661.0,552.0,WFP,WASH Program,1042,Low,PK-QUE,kits,Survey,2024-03-24,109.0,Reported by district office
Lahore,Water,2024-10-01,461.0,178.0,Private Donor,WASH Program,1768,Low,PK-LAH,liters,Partner Report,2024-10-08,283.0,Reported by district office
Rawalpindi,Clothing,2025-12-01,1454.0,1564.0,USAID,Winter Aid,206,High,PK-RAW,pieces,Mobile App,2025-12-06,-110.0,Partner discrepancy noted
Multan,Food,2025-10-01,2062.0,1758.0,Red Crescent,Nutrition Program,2419,Low,PK-MUL,kg,Manual Entry,2025-10-19,304.0,Reported by district office
Sargodha,Clothing,2024-02-01,,2764.0,UNICEF,Winter Aid,1151,Low,PK-SAR,pieces,Manual Entry,2024-02-19,,Partner discrepancy noted
Quetta,Clothing,2024-05-01,5239.0,,Private Donor,Winter Aid,703,Low,PK-QUE,pieces,Manual Entry,2024-05-22,,Pending review
Rawalpindi,Hygiene,2025-11-01,4276.0,4892.0,WFP,WASH Program,2739,High,PK-RAW,kits,Survey,2025-11-16,-616.0,
Sargodha,Clothing,2026-05-01,5215.0,,WFP,Winter Aid,616,High,PK-SAR,pieces,Survey,2026-05-14,,Reported by district office
Sargodha,Clothing,2026-02-01,2669.0,1935.0,WFP,Winter Aid,1495,High,PK-SAR,pieces,Partner Report,2026-02-21,734.0,Partner discrepancy noted
Multan,Medicine,2025-04-01,2041.0,1551.0,WFP,Health Support,296,Medium,PK-MUL,kits,Partner Report,2025-04-22,490.0,Reported by district office
Quetta,Water,2026-09-01,5280.0,1960.0,Local Fund,WASH Program,1185,Low,PK-QUE,liters,Partner Report,2026-09-15,3320.0,
Multan,Water,2024-12-01,1988.0,2129.0,Local Fund,WASH Program,351,High,PK-MUL,liters,Survey,2024-12-09,-141.0,
Bahawalpur,Shelter,2026-01-01,2341.0,1822.0,Local Fund,Shelter Support,1115,Low,PK-BAH,units,Manual Entry,2026-01-04,519.0,Field verified
Sargodha,Food,2026-06-01,1594.0,1594.0,UNHCR,Nutrition Program,1285,Medium,PK-SAR,kg,Partner Report,2026-06-12,0.0,Reported by district office
Hyderabad,Medicine,2026-02-01,3724.0,4006.0,WFP,Health Support,1592,Medium,PK-HYD,kits,Manual Entry,2026-02-21,-282.0,Reported by district office
Gujranwala,Medicine,2024-03-01,2310.0,2292.0,WFP,Health Support,1143,Low,PK-GUJ,kits,Partner Report,2024-03-10,18.0,Pending review
Quetta,Water,2026-06-01,1878.0,1565.0,Red Crescent,WASH Program,2692,High,PK-QUE,liters,Survey,2026-06-16,313.0,Reported by district office
Quetta,Hygiene,2025-12-01,4448.0,3976.0,USAID,WASH Program,2457,Medium,PK-QUE,kits,Survey,2025-12-04,472.0,
Rawalpindi,Medicine,2024-11-01,4420.0,3961.0,Local Fund,Health Support,2143,Low,PK-RAW,kits,Mobile App,2024-11-02,459.0,Pending review
Hyderabad,Clothing,2024-03-01,5109.0,1876.0,Local Fund,Winter Aid,386,Medium,PK-HYD,pieces,Survey,2024-03-08,3233.0,Pending review
Sialkot,Water,2024-03-01,1734.0,1429.0,UNICEF,WASH Program,1517,High,PK-SIA,liters,Partner Report,2024-03-22,305.0,Pending review
Sialkot,Water,2026-07-01,489.0,423.0,UNICEF,WASH Program,2614,Medium,PK-SIA,liters,Mobile App,2026-07-11,66.0,
Peshawar,Hygiene,2024-02-01,1524.0,1560.0,Private Donor,WASH Program,127,Medium,PK-PES,kits,Survey,2024-02-12,-36.0,Field verified
Multan,Food,2026-10-01,4809.0,4534.0,Red Crescent,Nutrition Program,2706,Medium,PK-MUL,kg,Partner Report,2026-10-21,275.0,
Hyderabad,Food,2025-02-01,430.0,372.0,UNICEF,Nutrition Program,2362,Medium,PK-HYD,kg,Manual Entry,2025-02-01,58.0,Reported by district office
Multan,Medicine,2026-11-01,1314.0,,USAID,Health Support,2500,Medium,PK-MUL,kits,Survey,2026-11-03,,Partner discrepancy noted
Gujranwala,Food,2025-12-01,5160.0,,Local Fund,Nutrition Program,448,High,PK-GUJ,kg,Manual Entry,2025-12-20,,Reported by district office
Rawalpindi,Hygiene,2024-04-01,3485.0,3485.0,UNICEF,WASH Program,1241,Medium,PK-RAW,kits,Survey,2024-04-15,0.0,Pending review
Faisalabad,Water,2024-11-01,,1612.0,Red Crescent,WASH Program,1966,Low,PK-FAI,liters,Survey,2024-11-22,,Field verified
Lahore,Food,2025-05-01,5408.0,4539.0,Private Donor,Nutrition Program,1106,High,PK-LAH,kg,Manual Entry,2025-05-21,869.0,Partner discrepancy noted
Rawalpindi,Water,2026-11-01,3856.0,3856.0,WFP,WASH Program,331,High,PK-RAW,liters,Survey,2026-11-01,0.0,Reported by district office
Faisalabad,Hygiene,2024-01-01,1809.0,1373.0,Local Fund,WASH Program,2018,Medium,PK-FAI,kits,Mobile App,2024-01-24,436.0,
Hyderabad,Water,2025-09-01,817.0,,Private Donor,WASH Program,230,Low,PK-HYD,liters,Survey,2025-09-06,,Field verified
Bahawalpur,Medicine,2024-05-01,3428.0,1664.0,USAID,Health Support,1647,High,PK-BAH,kits,Mobile App,2024-05-24,1764.0,
Multan,Water,2026-09-01,5074.0,5074.0,Local Fund,WASH Program,2249,High,PK-MUL,liters,Partner Report,2026-09-24,0.0,
Hyderabad,Medicine,2025-06-01,857.0,921.0,Local Fund,Health Support,2044,Medium,PK-HYD,kits,Partner Report,2025-06-14,-64.0,Pending review
Karachi,Clothing,2025-02-01,5214.0,5214.0,Private Donor,Winter Aid,964,Medium,PK-KAR,pieces,Survey,2025-02-11,0.0,Partner discrepancy noted
Sialkot,Water,2024-11-01,1696.0,526.0,Red Crescent,WASH Program,833,Low,PK-SIA,liters,Partner Report,2024-11-04,1170.0,
Lahore,Hygiene,2026-12-01,4333.0,3786.0,USAID,WASH Program,776,Medium,PK-LAH,kits,Survey,2026-12-23,547.0,Field verified
Karachi,Medicine,2026-08-01,,2359.0,UNHCR,Health Support,1314,Low,PK-KAR,kits,Mobile App,2026-08-20,,
Quetta,Medicine,2025-04-01,128.0,120.0,USAID,Health Support,1765,High,PK-QUE,kits,Manual Entry,2025-04-06,8.0,Partner discrepancy noted
Rawalpindi,Clothing,2024-12-01,,1366.0,WFP,Winter Aid,1398,Low,PK-RAW,pieces,Partner Report,2024-12-12,,Partner discrepancy noted
Gujranwala,Medicine,2025-03-01,5484.0,5484.0,Red Crescent,Health Support,2073,Low,PK-GUJ,kits,Mobile App,2025-03-25,0.0,Field verified
Karachi,Shelter,2025-06-01,2744.0,2582.0,Red Crescent,Shelter Support,687,Medium,PK-KAR,units,Survey,2025-06-10,162.0,Reported by district office
Faisalabad,Shelter,2024-01-01,346.0,256.0,UNHCR,Shelter Support,545,Low,PK-FAI,units,Partner Report,2024-01-01,90.0,Field verified
Sialkot,Medicine,2024-08-01,4122.0,3144.0,UNHCR,Health Support,2498,Low,PK-SIA,kits,Partner Report,2024-08-16,978.0,Field verified
Multan,Medicine,2025-09-01,1442.0,1226.0,Private Donor,Health Support,2849,Medium,PK-MUL,kits,Manual Entry,2025-09-10,216.0,
Faisalabad,Medicine,2025-06-01,5326.0,2334.0,Private Donor,Health Support,1227,Medium,PK-FAI,kits,Manual Entry,2025-06-01,2992.0,Pending review
Bahawalpur,Clothing,2025-07-01,857.0,269.0,USAID,Winter Aid,358,Medium,PK-BAH,pieces,Partner Report,2025-07-07,588.0,Field verified
Quetta,Clothing,2025-03-01,3430.0,1656.0,Local Fund,Winter Aid,537,Medium,PK-QUE,pieces,Manual Entry,2025-03-18,1774.0,Field verified
Peshawar,Shelter,2024-05-01,5474.0,3870.0,Private Donor,Shelter Support,2859,Medium,PK-PES,units,Survey,2024-05-14,1604.0,
Bahawalpur,Medicine,2026-04-01,,2166.0,WFP,Health Support,522,Low,PK-BAH,kits,Survey,2026-04-05,,
Bahawalpur,Food,2024-03-01,,2154.0,UNICEF,Nutrition Program,428,High,PK-BAH,kg,Manual Entry,2024-03-05,,Field verified
Rawalpindi,Clothing,2026-06-01,5416.0,4125.0,Red Crescent,Winter Aid,271,Low,PK-RAW,pieces,Partner Report,2026-06-05,1291.0,Pending review
Bahawalpur,Food,2024-12-01,4548.0,4051.0,UNICEF,Nutrition Program,1230,Medium,PK-BAH,kg,Partner Report,2024-12-11,497.0,Reported by district office
Faisalabad,Medicine,2024-12-01,833.0,764.0,USAID,Health Support,2868,High,PK-FAI,kits,Mobile App,2024-12-06,69.0,Reported by district office
Sialkot,Hygiene,2026-03-01,4294.0,4143.0,USAID,WASH Program,1783,Medium,PK-SIA,kits,Survey,2026-03-09,151.0,Field verified
Hyderabad,Hygiene,2026-10-01,712.0,797.0,WFP,WASH Program,1326,Low,PK-HYD,kits,Mobile App,2026-10-01,-85.0,Partner discrepancy noted
Peshawar,Food,2026-07-01,1467.0,1457.0,Local Fund,Nutrition Program,2491,High,PK-PES,kg,Mobile App,2026-07-24,10.0,Field verified
Sargodha,Water,2026-02-01,2915.0,3103.0,WFP,WASH Program,753,Low,PK-SAR,liters,Mobile App,2026-02-08,-188.0,Reported by district office
Gujranwala,Clothing,2025-05-01,,520.0,Red Crescent,Winter Aid,1566,Medium,PK-GUJ,pieces,Partner Report,2025-05-22,,
Bahawalpur,Shelter,2024-03-01,5420.0,2498.0,WFP,Shelter Support,2841,High,PK-BAH,units,Mobile App,2024-03-02,2922.0,Reported by district office
Karachi,Medicine,2025-11-01,2129.0,1894.0,Local Fund,Health Support,2993,Low,PK-KAR,kits,Manual Entry,2025-11-14,235.0,Reported by district office
Karachi,Clothing,2025-11-01,2939.0,2183.0,Red Crescent,Winter Aid,1834,High,PK-KAR,pieces,Manual Entry,2025-11-05,756.0,Partner discrepancy noted
Gujranwala,Clothing,2026-06-01,2002.0,2002.0,USAID,Winter Aid,210,Low,PK-GUJ,pieces,Manual Entry,2026-06-23,0.0,Reported by district office
Multan,Medicine,2024-06-01,1671.0,1671.0,WFP,Health Support,1581,Low,PK-MUL,kits,Mobile App,2024-06-18,0.0,
Sargodha,Medicine,2025-12-01,4626.0,4626.0,Local Fund,Health Support,2280,High,PK-SAR,kits,Mobile App,2025-12-08,0.0,Reported by district office
Hyderabad,Hygiene,2025-12-01,996.0,961.0,UNICEF,WASH Program,174,Medium,PK-HYD,kits,Manual Entry,2025-12-09,35.0,Partner discrepancy noted
Gujranwala,Shelter,2025-05-01,3622.0,2658.0,UNHCR,Shelter Support,560,Medium,PK-GUJ,units,Survey,2025-05-23,964.0,Pending review
Hyderabad,Food,2025-05-01,2479.0,2106.0,Red Crescent,Nutrition Program,2100,Medium,PK-HYD,kg,Survey,2025-05-22,373.0,Pending review
Bahawalpur,Medicine,2026-07-01,4555.0,4459.0,Red Crescent,Health Support,1488,High,PK-BAH,kits,Partner Report,2026-07-09,96.0,Partner discrepancy noted
Multan,Medicine,2025-05-01,5176.0,4568.0,UNHCR,Health Support,1603,Medium,PK-MUL,kits,Mobile App,2025-05-06,608.0,Field verified
Lahore,Medicine,2026-07-01,5139.0,4950.0,Local Fund,Health Support,246,Medium,PK-LAH,kits,Mobile App,2026-07-12,244.0,Pending review
Quetta,Clothing,2026-03-01,732.0,722.0,USAID,Winter Aid,2297,Low,PK-QUE,pieces,Partner Report,2026-03-17,10.0,Partner discrepancy noted
Sialkot,Hygiene,2024-05-01,2150.0,2150.0,Private Donor,WASH Program,1654,Low,PK-SIA,kits,Mobile App,2024-05-21,0.0,Partner discrepancy noted
Sargodha,Food,2026-02-01,1964.0,,UNHCR,Nutrition Program,398,Medium,PK-SAR,kg,Partner Report,2026-02-17,,
Hyderabad,Hygiene,2025-06-01,1187.0,895.0,UNHCR,WASH Program,331,Low,PK-HYD,kits,Manual Entry,2025-06-12,292.0,Pending review
Sialkot,Clothing,2024-12-01,2467.0,742.0,Red Crescent,Winter Aid,972,High,PK-SIA,pieces,Manual Entry,2024-12-16,1725.0,Partner discrepancy noted
Rawalpindi,Hygiene,2026-04-01,1977.0,1534.0,USAID,WASH Program,1629,Low,PK-RAW,kits,Partner Report,2026-04-21,443.0,
Lahore,Medicine,2024-12-01,2732.0,1940.0,Private Donor,Health Support,404,Low,PK-LAH,kits,Manual Entry,2024-12-15,792.0,
Hyderabad,Water,2025-06-01,945.0,737.0,Private Donor,WASH Program,205,High,PK-HYD,liters,Manual Entry,2025-06-12,208.0,Field verified
Bahawalpur,Clothing,2026-09-01,4972.0,4965.0,USAID,Winter Aid,1077,Low,PK-BAH,pieces,Manual Entry,2026-09-21,7.0,Pending review
Rawalpindi,Clothing,2026-04-01,901.0,792.0,Private Donor,Winter Aid,623,Medium,PK-RAW,pieces,Survey,2026-04-06,109.0,Field verified
Lahore,Water,2024-09-01,211.0,156.0,WFP,WASH Program,2659,Low,PK-LAH,liters,Manual Entry,2024-09-08,55.0,Reported by district office
Gujranwala,Medicine,2026-10-01,2063.0,1459.0,Local Fund,Health Support,673,High,PK-GUJ,kits,Manual Entry,2026-10-17,604.0,Reported by district office
Multan,Food,2024-02-01,4843.0,4379.0,USAID,Nutrition Program,1063,Low,PK-MUL,kg,Partner Report,2024-02-09,464.0,Partner discrepancy noted
Quetta,Clothing,2024-07-01,453.0,374.0,UNICEF,Winter Aid,1397,Medium,PK-QUE,pieces,Manual Entry,2024-07-07,79.0,
Quetta,Shelter,2024-03-01,5396.0,3998.0,Red Crescent,Shelter Support,1123,Medium,PK-QUE,units,Survey,2024-03-11,1398.0,Pending review
Hyderabad,Medicine,2026-02-01,3724.0,4006.0,WFP,Health Support,1592,Medium,PK-HYD,kits,Manual Entry,2026-02-21,-282.0,Reported by district office
Quetta,Clothing,2025-05-01,3010.0,,Red Crescent,Winter Aid,999,Low,PK-QUE,pieces,Manual Entry,2025-05-19,,Field verified
Peshawar,Medicine,2026-09-01,3061.0,2839.0,Private Donor,Health Support,1463,Medium,PK-PES,kits,Manual Entry,2026-09-24,222.0,
Sialkot,Food,2026-03-01,3667.0,3255.0,Private Donor,Nutrition Program,2026,High,PK-SIA,kg,Partner Report,2026-03-03,412.0,Partner discrepancy noted
Karachi,Medicine,2026-03-01,4969.0,,Private Donor,Health Support,1200,High,PK-KAR,kits,Survey,2026-03-16,,Partner discrepancy noted
Rawalpindi,Hygiene,2024-03-01,2233.0,2025.0,UNHCR,WASH Program,2076,Medium,PK-RAW,kits,Mobile App,2024-03-03,208.0,Field verified
Quetta,Water,2025-05-01,3284.0,3101.0,Local Fund,WASH Program,1819,Low,PK-QUE,liters,Manual Entry,2025-05-24,183.0,Pending review
Sargodha,Clothing,2026-12-01,2449.0,2449.0,UNHCR,Winter Aid,752,Medium,PK-SAR,pieces,Survey,2026-12-17,-35.0,Pending review
Gujranwala,Shelter,2026-11-01,3707.0,2780.0,Red Crescent,Shelter Support,2343,Low,PK-GUJ,units,Survey,2026-11-05,927.0,Reported by district office
Bahawalpur,Water,2024-05-01,2816.0,1366.0,Local Fund,WASH Program,489,High,PK-BAH,liters,Survey,2024-05-02,1450.0,Pending review
Hyderabad,Water,2026-09-01,1718.0,1363.0,UNICEF,WASH Program,1884,High,PK-HYD,liters,Survey,2026-09-17,355.0,
Quetta,Shelter,2025-01-01,1678.0,1598.0,USAID,Shelter Support,1776,Low,PK-QUE,units,Manual Entry,2025-01-15,80.0,Pending review
Peshawar,Hygiene,2024-12-01,3803.0,3803.0,Private Donor,WASH Program,2284,Medium,PK-PES,kits,Partner Report,2024-12-14,0.0,Field verified
Bahawalpur,Water,2026-10-01,5480.0,4493.0,UNHCR,WASH Program,1536,High,PK-BAH,liters,Manual Entry,2026-10-08,955.0,
Rawalpindi,Hygiene,2025-10-01,2196.0,2192.0,UNHCR,WASH Program,1802,Low,PK-RAW,kits,Survey,2025-10-15,4.0,Partner discrepancy noted
Rawalpindi,Water,2024-11-01,3543.0,,Local Fund,WASH Program,480,Low,PK-RAW,liters,Manual Entry,2024-11-24,,Partner discrepancy noted
Bahawalpur,Shelter,2024-09-01,1795.0,612.0,Red Crescent,Shelter Support,1339,Medium,PK-BAH,units,Partner Report,2024-09-05,1183.0,
Peshawar,Clothing,2026-12-01,3976.0,4251.0,UNICEF,Winter Aid,376,Low,PK-PES,pieces,Partner Report,2026-12-21,-275.0,
Peshawar,Shelter,2026-08-01,2344.0,2317.0,Private Donor,Shelter Support,1860,Medium,PK-PES,units,Manual Entry,2026-08-21,27.0,Field verified
Hyderabad,Hygiene,2024-07-01,199.0,90.0,Red Crescent,WASH Program,294,Low,PK-HYD,kits,Partner Report,2024-07-20,109.0,Partner discrepancy noted
Hyderabad,Hygiene,2026-08-01,1695.0,1527.0,Red Crescent,WASH Program,2532,Low,PK-HYD,kits,Manual Entry,2026-08-24,168.0,Partner discrepancy noted
Hyderabad,Clothing,2025-10-01,1335.0,1240.0,USAID,Winter Aid,214,Medium,PK-HYD,pieces,Survey,2025-10-25,95.0,Pending review
Lahore,Food,2024-08-01,5450.0,5661.0,Red Crescent,Nutrition Program,1495,Medium,PK-LAH,kg,Manual Entry,2024-08-07,-211.0,Field verified
Bahawalpur,Hygiene,2025-09-01,760.0,590.0,UNHCR,WASH Program,769,High,PK-BAH,kits,Mobile App,2025-09-12,170.0,
Karachi,Shelter,2025-04-01,720.0,576.0,USAID,Shelter Support,1563,Low,PK-KAR,units,Partner Report,2025-04-17,144.0,Partner discrepancy noted
Karachi,Clothing,2024-11-01,5225.0,2132.0,Local Fund,Winter Aid,2947,Medium,PK-KAR,pieces,Mobile App,2024-11-20,3093.0,Reported by district office
Bahawalpur,Water,2026-12-01,1000.0,925.0,WFP,WASH Program,2537,Medium,PK-BAH,liters,Mobile App,2026-12-08,75.0,
Sialkot,Clothing,2025-08-01,2524.0,2855.0,WFP,Winter Aid,1628,Medium,PK-SIA,pieces,Mobile App,2025-08-12,-331.0,Field verified
Bahawalpur,Hygiene,2025-06-01,3561.0,3561.0,Red Crescent,WASH Program,682,Low,PK-BAH,kits,Survey,2025-06-07,0.0,Reported by district office
Hyderabad,Medicine,2025-12-01,3883.0,3350.0,Red Crescent,Health Support,571,Low,PK-HYD,kits,Survey,2025-12-18,533.0,
Peshawar,Food,2024-04-01,247.0,281.0,Private Donor,Nutrition Program,2453,Medium,PK-PES,kg,Manual Entry,2024-04-14,-34.0,Field verified
Peshawar,Medicine,2026-05-01,4378.0,4378.0,UNICEF,Health Support,1677,Low,PK-PES,kits,Survey,2026-05-03,58.0,Pending review
Hyderabad,Water,2024-09-01,2664.0,,Private Donor,WASH Program,2162,Low,PK-HYD,liters,Survey,2024-09-12,,Reported by district office
Rawalpindi,Medicine,2024-05-01,927.0,744.0,Red Crescent,Health Support,456,High,PK-RAW,kits,Mobile App,2024-05-22,183.0,
Sargodha,Food,2025-03-01,3472.0,3027.0,UNICEF,Nutrition Program,1086,Low,PK-SAR,kg,Survey,2025-03-19,445.0,
Hyderabad,Water,2025-08-01,1352.0,1458.0,Local Fund,WASH Program,776,Low,PK-HYD,liters,Mobile App,2025-08-09,-106.0,
Quetta,Water,2026-11-01,5144.0,5475.0,UNICEF,WASH Program,2778,Low,PK-QUE,liters,Partner Report,2026-11-07,-331.0,Partner discrepancy noted
Sialkot,Water,2025-07-01,1680.0,,WFP,WASH Program,2475,Medium,PK-SIA,liters,Manual Entry,2025-07-20,,Field verified
Multan,Medicine,2026-12-01,3627.0,3259.0,Local Fund,Health Support,2534,Low,PK-MUL,kits,Manual Entry,2026-12-06,368.0,Partner discrepancy noted
Gujranwala,Food,2024-08-01,2255.0,1975.0,Red Crescent,Nutrition Program,1229,Medium,PK-GUJ,kg,Survey,2024-08-12,280.0,Partner discrepancy noted
Quetta,Water,2024-12-01,3095.0,3095.0,WFP,WASH Program,1760,Medium,PK-QUE,liters,Survey,2024-12-17,0.0,Pending review
Hyderabad,Medicine,2026-07-01,2391.0,1781.0,UNICEF,Health Support,482,High,PK-HYD,kits,Survey,2026-07-03,610.0,
